ID,Time,Record,Type,Levels
75800,2019/11/17,08:52,0,79
75801,2019/11/17,09:07,0,78
75802,2019/11/17,09:22,0,80
75803,2019/11/17,09:37,0,89
75804,2019/11/17,09:52,0,112
75805,2019/11/17,10:07,0,132
75806,2019/11/17,10:22,0,128
75807,2019/11/17,10:37,0,109
75808,2019/11/17,10:52,0,91
75809,2019/11/17,11:07,0,87
75810,2019/11/17,11:22,0,101
75811,2019/11/17,11:37,0,108
75812,2019/11/17,11:52,0,100
75813,2019/11/17,12:07,0,98
75814,2019/11/17,12:22,0,103
75815,2019/11/17,12:37,0,105
75816,2019/11/17,12:52,0,98
75817,2019/11/17,13:07,0,84
75818,2019/11/17,13:22,0,80
75819,2019/11/17,13:37,0,84
75820,2019/11/17,13:52,0,90
75821,2019/11/17,14:07,0,90
75822,2019/11/17,14:22,0,77
75823,2019/11/17,14:37,0,77
75824,2019/11/17,14:52,0,85
75825,2019/11/17,15:07,0,114
75826,2019/11/17,15:22,0,147
75827,2019/11/17,15:37,0,157
75828,2019/11/17,15:52,0,144
75829,2019/11/17,16:07,0,117
75830,2019/11/17,16:22,0,109
75831,2019/11/17,16:37,0,112
75832,2019/11/17,16:52,0,111
75833,2019/11/17,17:07,0,119
75834,2019/11/17,17:22,0,125
75835,2019/11/17,17:37,0,124
75836,2019/11/17,17:52,0,120
75837,2019/11/17,18:07,0,115
75838,2019/11/17,18:22,0,112
75839,2019/11/17,18:37,0,105
75840,2019/11/17,18:52,0,105
75841,2019/11/17,19:07,0,106
75842,2019/11/17,19:22,0,105
75843,2019/11/17,19:37,0,99
75844,2019/11/17,19:52,0,92
75845,2019/11/17,20:07,0,91
75846,2019/11/17,20:22,0,92
75847,2019/11/17,20:37,0,88
75848,2019/11/17,20:52,0,83
75849,2019/11/17,21:07,0,81
75850,2019/11/17,21:22,0,81
75851,2019/11/17,21:37,0,97
75852,2019/11/17,21:52,0,108
75853,2019/11/17,22:07,0,86
75854,2019/11/17,22:22,0,88
75855,2019/11/17,22:37,0,112
75856,2019/11/17,22:52,0,121
75857,2019/11/17,23:07,0,118
75858,2019/11/17,23:22,0,111
75859,2019/11/17,23:37,0,109
75860,2019/11/17,23:52,0,108
75861,2019/11/18,00:07,0,109
75862,2019/11/18,00:22,0,117
75863,2019/11/18,00:37,0,123
75864,2019/11/18,00:52,0,126
