Countries,Type,Number_of_cases,Death
Guinea,comfirmed cases,3351,2083
Guinea,Probable cases,453,453
Sierra Leone,comfirmed cases,8704,3589
Sierra Leone,Probable cases,287,208
Sierra Leone,Suspected cases,5131,158
